Dist_Name,Corrected_Percent_Flooded_Area,Population,Normalized_Flooded_Area,Fatalities_Per_100k,Injuries_Per_100k,Normalized_Flood_Duration,DFSI
Koriya,0.478767784,763582,0.004787678,0.13096170417846414,0,0.02857142857142857,0.04108020264747318
Jashpur,0.568829082,942821,0.0056882908200000006,0.21212934374605574,0,0.02857142857142857,0.06159726578437108
Korba,0.310367455,1414402,0.0031036745500000002,0.07070125749256577,0.07070125749256577,0.05714285714285714,0.05041226166949717
Kabeerdham,0.564680218,1131600,0.005646802,0,0,0.05714285714285714,0.015697414830714285
Janjgir - Champa,1.928896826,2018726,0.019288968259999997,0.09907238525684021,0.09907238525684021,0.05714285714285714,0.0686441489791344
Bametara,2.384020554,909116,0.023840205540000003,0.32999089225137385,0,0.05714285714285714,0.10274348873355775
Rajnandgaon,0.248451395,1792617,0.002484514,1.2830403817435625,0.7809811019308642,0.05714285714285714,0.530912213691821
Surajpur,1.22005953,917283,0.012200595299999999,0,0,0,0.0030501488249999997
Baloda Bazar,3.300403562,1681629,0.033004035620000004,0,0,0.05714285714285714,0.022536723190714286
Mungeli,1.835241434,784748,0.018352414,0.25485888463557727,0.5097177692711545,0.05714285714285714,0.21001798134739724
Surguja,0.200172812,971194,0.002001728,1.2355924768892723,0.2059320794815454,0.02857142857142857,0.36802442826556153
Balrampur,0.642652494,853775,0.006426525,6.793358906034963,3.0452988199467073,0.5714285714285714,2.6041282055875605
Balrampur,0.642652494,2570002,0.006426525,2.2568075822509086,1.0116723644573038,0.5714285714285714,0.9615837607691959
Bijapur,1.948257182,275997,0.019482571820000003,30.79743620401671,7.246455577415697,0.2571428571428571,9.580129302598817
Raigarh,0.831024656,1654533,0.008310247,19.824325051238024,5.620921432210781,0.08571428571428572,6.384817753930773
Raigarh,0.831024656,3072698,0.008310247,10.674657906504317,3.0266560527588457,0.08571428571428572,3.448834622884362
Bilaspur,0.754674491,2180689,0.007546744909999999,5.090134356618482,0.41271359648257955,0.14285714285714285,1.4133129602170513
Bilaspur,0.754674491,517758,0.007546744909999999,21.438587139165403,1.7382638220944922,0.14285714285714285,5.83181371225676
Sukma,1.466729973,259382,0.014667299730000001,0,0,0.02857142857142857,0.010809682075357143
